,Coal Data,,Natural Gas,,Electricity,,Co2 Emissions
year,world_cons,world_prod,world_prod,world_cons,world_prod,world_cons,world
1990,4693,4698,2057,2047,11875,10120,20376
1991,4614,4526,2099,2107,12152,10436,20532
1992,4558,4478,2099,2101,12262,10525,20450
1993,4538,4361,2147,2136,12550,10724,20552
1994,4539,4440,2165,2141,12857,11003,20632
1995,4678,4596,2197,2191,13296,11346,21090
1996,4733,4659,2288,2279,13723,11702,21543
1997,4719,4657,2291,2315,14012,11975,21910
1998,4674,4592,2339,2345,14373,12258,22067
1999,4568,4531,2412,2423,14780,12607,22205
2000,4790,4664,2496,2507,15480,13186,22846
2001,4869,4889,2540,2533,15597,13393,23184
2002,5026,4944,2603,2613,16209,13839,23530
2003,5439,5294,2698,2705,16800,14384,24583
2004,5749,5688,2784,2794,17571,15027,25733
2005,6103,6055,2863,2863,18334,15681,26640
2006,6447,6405,2951,2931,19052,16327,27483
2007,6784,6667,3027,3050,19885,17133,28401
2008,6919,6865,3146,3126,20271,17443,28576
2009,6953,6995,3052,3048,20199,17353,28260
2010,7325,7386,3275,3320,21589,18559,29924
2011,7738,7860,3370,3376,22281,19135,30767
2012,7872,7963,3434,3446,22802,19628,31217
2013,8001,8011,3495,3491,23488,20246,31760
2014,7981,7965,3539,3494,24057,20770,31833
2015,7749,7726,3571,3541,24348,21004,31685
2016,7630,7316,3631,3633,25042,21622,31682
2017,7772,7577,3778,3742,25808,22367,32202
2018,7902,7866,3978,3919,26716,23366,32794
2019,7765,7984,4124,3993,27057,23718,32664
2020,7466,7624,4004,3912,26849,23652,31095
2021,7964,8031,4177,4100,28370,25024,32972
2022,8462,8687,4175,4041,29029,25530,33811
